Protocol,Duration,SourceBytes,DestinationBytes,FailedLogins,ConnectionCount,Port,Attack
TCP,12,450,1200,0,3,80,Normal
TCP,8,320,950,0,2,443,Normal
UDP,2,1200,100,0,8,53,Normal
TCP,15,500,1400,0,4,80,Normal
TCP,5,200,600,0,1,443,Normal
UDP,3,900,80,0,5,53,Normal
TCP,20,650,1800,1,5,22,Normal
TCP,10,400,1100,0,3,80,Normal
TCP,7,350,900,0,2,443,Normal
UDP,4,1000,120,0,6,53,Normal
TCP,45,8000,500,8,35,22,Attack
TCP,60,12000,300,12,50,22,Attack
UDP,2,15000,50,0,80,53,Attack
TCP,90,20000,200,15,70,22,Attack
TCP,75,18000,400,10,65,23,Attack
UDP,1,25000,20,0,100,53,Attack
TCP,50,9000,300,7,40,21,Attack
TCP,100,30000,100,20,90,22,Attack
TCP,65,14000,250,9,55,23,Attack
UDP,2,22000,30,0,85,53,Attack
TCP,55,11000,350,6,45,21,Attack
TCP,80,16000,200,13,75,22,Attack
TCP,40,7500,450,5,30,23,Attack
UDP,3,18000,40,0,75,53,Attack
